Min;2539.81;1601.84;1850.92;282.741;1307.38
Max;4744.99;4744.99;4819.71;4671.42;2957.76
Open;4405.57;4671.42;4492.46;4617;2889.24
Fist;2559.73;1620.72;1917.15;326.707;1359.46
