Timestamp CaptoGlove4305;Pinky Bending;Ring Bending;Middle Bending;Index Bending;Thumb Bending
13: 58: 50.783;0,824503;0,905539;0,867454;0,884563;0,3397
13: 58: 50.783;0,857348;0,9198;0,867454;0,909084;0,363024
13: 58: 50.839;0,877679;0,905539;0,874257;0,912642;0,367303
13: 58: 50.840;0,888025;0,888025;0,884563;0,8915;0,380446
13: 58: 50.876;0,888025;0,888025;0,884563;0,8915;0,380446
13: 58: 50.877;0,898492;0,877679;0,898492;0,909084;0,404982
13: 58: 50.895;0,909084;0,877679;0,916214;0,9234;0,421115
13: 58: 50.932;0,909084;0,877679;0,916214;0,9234;0,421115
13: 58: 50.933;0,916214;0,898492;0,930642;0,898492;0,417838
13: 58: 50.970;0,9234;0,9234;0,941612;0,89499;0,419473
13: 58: 50.971;0,9234;0,9234;0,941612;0,89499;0,419473
13: 58: 50.989;0,927014;0,941612;0,948997;0,916214;0,443052
13: 58: 51.027;0,927014;0,941612;0,948997;0,916214;0,443052
13: 58: 51.027;0,930642;0,948997;0,952711;0,898492;0,466132
13: 58: 51.064;0,934284;0,941612;0,95644;0,884563;0,480928
13: 58: 51.065;0,934284;0,941612;0,95644;0,884563;0,480928
13: 58: 51.083;0,934284;0,916214;0,960184;0,905539;0,4847
13: 58: 51.139;0,937941;0,898492;0,960184;0,9198;0,479053
13: 58: 51.140;0,937941;0,898492;0,960184;0,9198;0,479053
13: 58: 51.176;0,937941;0,89499;0,960184;0,898492;0,479053
13: 58: 51.195;0,937941;0,941612;0,952711;0,912642;0,488502
13: 58: 51.214;0,937941;0,941612;0,952711;0,912642;0,488502
13: 58: 51.233;0,934284;0,952711;0,948997;0,927014;0,496195
13: 58: 51.251;0,930642;0,95644;0,937941;0,902009;0,507962
13: 58: 51.270;0,930642;0,95644;0,937941;0,902009;0,507962
13: 58: 51.289;0,9198;0,945297;0,934284;0,888025;0,520008
13: 58: 51.308;0,9198;0,945297;0,934284;0,888025;0,520008
13: 58: 51.345;0,898492;0,9198;0,927014;0,909084;0,528197
13: 58: 51.346;0,877679;0,902009;0,930642;0,916214;0,528197
13: 58: 51.382;0,877679;0,902009;0,930642;0,916214;0,528197
13: 58: 51.383;0,867454;0,8915;0,930642;0,89499;0,540722
13: 58: 51.402;0,860703;0,884563;0,937941;0,909084;0,542839
13: 58: 51.439;0,860703;0,884563;0,937941;0,909084;0,542839
13: 58: 51.440;0,877679;0,881114;0,948997;0,9198;0,536514
13: 58: 51.477;0,877679;0,881114;0,948997;0,9198;0,536514
13: 58: 51.477;0,902009;0,884563;0,95644;0,898492;0,526137
13: 58: 51.495;0,9198;0,898492;0,960184;0,898492;0,515961
13: 58: 51.514;0,9198;0,898492;0,960184;0,898492;0,515961
13: 58: 51.533;0,927014;0,916214;0,963942;0,916214;0,505981
13: 58: 51.570;0,916214;0,937941;0,963942;0,898492;0,500086
13: 58: 51.571;0,916214;0,937941;0,963942;0,898492;0,500086
13: 58: 51.589;0,8915;0,952711;0,963942;0,888025;0,498137
13: 58: 51.626;0,8915;0,952711;0,963942;0,888025;0,498137
13: 58: 51.627;0,877679;0,960184;0,960184;0,909084;0,49426
13: 58: 51.664;0,870849;0,967714;0,948997;0,89499;0,496195
13: 58: 51.683;0,884563;0,967714;0,934284;0,884563;0,500086
13: 58: 51.720;0,909084;0,960184;0,916214;0,909084;0,513949
13: 58: 51.721;0,909084;0,960184;0,916214;0,909084;0,513949
13: 58: 51.814;0,9234;0,945297;0,902009;0,912642;0,524086
13: 58: 51.815;0,9234;0,945297;0,902009;0,912642;0,524086
13: 58: 51.852;0,902009;0,89499;0,884563;0,9198;0,540722
13: 58: 51.852;0,884563;0,888025;0,884563;0,898492;0,540722
13: 58: 51.871;0,884563;0,888025;0,884563;0,898492;0,540722
13: 58: 51.889;0,870849;0,888025;0,888025;0,909084;0,534423
13: 58: 51.908;0,870849;0,888025;0,888025;0,909084;0,534423
13: 58: 51.983;0,884563;0,898492;0,902009;0,9234;0,51798
13: 58: 51.983;0,905539;0,9198;0,912642;0,898492;0,505981
13: 58: 52.001;0,930642;0,952711;0,9198;0,912642;0,492333
13: 58: 52.039;0,930642;0,952711;0,9198;0,912642;0,492333
13: 58: 52.040;0,909084;0,963942;0,937941;0,916214;0,498137
13: 58: 52.076;0,909084;0,963942;0,937941;0,916214;0,498137
13: 58: 52.077;0,888025;0,967714;0,948997;0,89499;0,513949
13: 58: 52.095;0,874257;0,971502;0,95644;0,912642;0,530264
13: 58: 52.133;0,874257;0,971502;0,95644;0,912642;0,530264
13: 58: 52.133;0,8915;0,971502;0,960184;0,916214;0,538614
13: 58: 52.170;0,916214;0,971502;0,960184;0,89499;0,544963
13: 58: 52.171;0,916214;0,971502;0,960184;0,89499;0,544963
13: 58: 52.189;0,927014;0,971502;0,941612;0,912642;0,542839
13: 58: 52.226;0,927014;0,971502;0,941612;0,912642;0,542839
13: 58: 52.227;0,912642;0,971502;0,9234;0,916214;0,528197
13: 58: 52.264;0,8915;0,967714;0,905539;0,89499;0,513949
13: 58: 52.265;0,8915;0,967714;0,905539;0,89499;0,513949
13: 58: 52.283;0,877679;0,960184;0,89499;0,912642;0,507962
13: 58: 52.320;0,898492;0,95644;0,8915;0,916214;0,515961
13: 58: 52.321;0,898492;0,95644;0,8915;0,916214;0,515961
13: 58: 52.358;0,9198;0,945297;0,8915;0,89499;0,532339
13: 58: 52.376;0,930642;0,934284;0,905539;0,909084;0,544963
13: 58: 52.414;0,912642;0,9234;0,9234;0,9234;0,551387
13: 58: 52.415;0,912642;0,9234;0,9234;0,9234;0,551387
13: 58: 52.452;0,8915;0,909084;0,941612;0,898492;0,536514
13: 58: 52.452;0,881114;0,898492;0,952711;0,909084;0,522043
13: 58: 52.508;0,881114;0,898492;0,952711;0,909084;0,522043
13: 58: 52.508;0,898492;0,8915;0,960184;0,9234;0,513949
13: 58: 52.545;0,9198;0,888025;0,95644;0,898492;0,522043
13: 58: 52.546;0,930642;0,884563;0,945297;0,898492;0,536514
13: 58: 52.564;0,930642;0,884563;0,945297;0,898492;0,536514
13: 58: 52.583;0,937941;0,881114;0,927014;0,916214;0,544963
13: 58: 52.601;0,916214;0,888025;0,909084;0,898492;0,544963
13: 58: 52.620;0,916214;0,888025;0,909084;0,898492;0,544963
13: 58: 52.639;0,89499;0,898492;0,898492;0,888025;0,528197
13: 58: 52.676;0,89499;0,898492;0,898492;0,888025;0,528197
13: 58: 52.677;0,881114;0,9198;0,8915;0,912642;0,51798
13: 58: 52.695;0,8915;0,937941;0,888025;0,898492;0,520008
13: 58: 52.733;0,8915;0,937941;0,888025;0,898492;0,520008
13: 58: 52.733;0,912642;0,948997;0,888025;0,888025;0,536514
13: 58: 52.751;0,930642;0,960184;0,8915;0,909084;0,549237
13: 58: 52.770;0,930642;0,960184;0,8915;0,909084;0,549237
13: 58: 52.826;0,916214;0,967714;0,905539;0,905539;0,542839
13: 58: 52.827;0,89499;0,971502;0,927014;0,8915;0,528197
13: 58: 52.864;0,881114;0,975304;0,941612;0,884563;0,51798
13: 58: 52.865;0,881114;0,975304;0,941612;0,884563;0,51798
13: 58: 52.883;0,888025;0,975304;0,952711;0,909084;0,524086
13: 58: 52.920;0,912642;0,975304;0,960184;0,898492;0,524086
13: 58: 52.921;0,912642;0,975304;0,960184;0,898492;0,524086
13: 58: 52.958;0,927014;0,971502;0,963942;0,884563;0,534423
13: 58: 52.959;0,927014;0,971502;0,963942;0,884563;0,534423
13: 58: 52.977;0,927014;0,967714;0,95644;0,909084;0,538614
13: 58: 53.014;0,902009;0,963942;0,934284;0,909084;0,536514
13: 58: 53.015;0,902009;0,963942;0,934284;0,909084;0,536514
13: 58: 53.051;0,884563;0,95644;0,912642;0,8915;0,522043
13: 58: 53.052;0,884563;0,941612;0,902009;0,905539;0,505981
13: 58: 53.071;0,884563;0,941612;0,902009;0,905539;0,505981
13: 58: 53.108;0,909084;0,9198;0,89499;0,9234;0,492333
13: 58: 53.145;0,909084;0,9198;0,89499;0,9234;0,492333
13: 58: 53.146;0,927014;0,909084;0,888025;0,898492;0,4847
13: 58: 53.164;0,934284;0,89499;0,8915;0,8915;0,480928
13: 58: 53.202;0,912642;0,8915;0,89499;0,912642;0,4847
13: 58: 53.202;0,8915;0,888025;0,912642;0,902009;0,500086
13: 58: 53.239;0,8915;0,888025;0,912642;0,902009;0,500086
13: 58: 53.240;0,881114;0,884563;0,927014;0,888025;0,515961
13: 58: 53.258;0,888025;0,884563;0,941612;0,909084;0,526137
13: 58: 53.277;0,888025;0,884563;0,941612;0,909084;0,526137
13: 58: 53.295;0,912642;0,8915;0,952711;0,9198;0,532339
13: 58: 53.333;0,912642;0,8915;0,952711;0,9198;0,532339
13: 58: 53.334;0,930642;0,89499;0,960184;0,898492;0,515961
13: 58: 53.352;0,937941;0,905539;0,963942;0,898492;0,504009
13: 58: 53.370;0,937941;0,905539;0,963942;0,898492;0,504009
13: 58: 53.389;0,927014;0,916214;0,95644;0,916214;0,498137
13: 58: 53.426;0,927014;0,916214;0,95644;0,916214;0,498137
13: 58: 53.427;0,902009;0,941612;0,934284;0,898492;0,505981
