Timestamp;Thumb Bending;Index Bending;Middle Bending;Ring Bending;Pinky Bending
15: 44: 14.215;0.121569;0.501961;0;0;0.564706
15: 44: 14.233;0.121569;0.501961;0;0;0.564706
15: 44: 14.252;0.223529;0.513726;0;0;0.364706
15: 44: 14.271;0.486275;0.509804;0;0;0.564706
15: 44: 14.290;0.486275;0.509804;0;0;0.564706
15: 44: 14.308;0.121569;0.501961;0;0;0.364706
15: 44: 14.327;0.121569;0.501961;0;0;0.364706
15: 44: 14.364;0.364706;0.517647;0;0;0.564706
15: 44: 14.365;0.223529;0.513726;0;0;0.580392
15: 44: 14.383;0.223529;0.513726;0;0;0.580392
15: 44: 14.402;0.792157;0.505882;0;0;0.505882
15: 44: 14.421;0.203922;0.521569;0;0;0.364706
15: 44: 14.440;0.203922;0.521569;0;0;0.364706
15: 44: 14.458;0.486275;0.509804;0;0;0.0156863
15: 44: 14.477;0.486275;0.509804;0;0;0.0156863
15: 44: 14.496;0.792157;0.505882;0;0;0.0156863
15: 44: 14.515;0.203922;0.521569;0;0;0.701961
15: 44: 14.552;0.203922;0.521569;0;0;0.701961
15: 44: 14.553;0.486275;0.509804;0;0;0.505882
15: 44: 14.571;0.545098;0.501961;0;0;0.580392
15: 44: 14.590;0.545098;0.501961;0;0;0.580392
15: 44: 14.608;0.545098;0.501961;0;0;0.564706
15: 44: 14.627;0.545098;0.501961;0;0;0.564706
15: 44: 14.646;0.905882;0.45098;0;0;0.580392
15: 44: 14.665;0.254902;0.372549;0.239216;0.686275;0.564706
15: 44: 14.683;0.254902;0.372549;0.239216;0.686275;0.564706
15: 44: 14.702;0.776471;0.329412;0.0235294;0.666667;0.364706
15: 44: 14.721;0.945098;0.25098;0.917647;0.305882;0.156863
15: 44: 14.740;0.945098;0.25098;0.917647;0.305882;0.156863
15: 44: 14.758;0.615686;0.184314;0.584314;0.545098;0.584314
15: 44: 14.796;0.615686;0.184314;0.584314;0.545098;0.584314
15: 44: 14.815;0.870588;0.129412;0.866667;0.596078;0.992157
15: 44: 14.871;0.870588;0.129412;0.866667;0.596078;0.992157
15: 44: 14.890;0.27451;0.0823529;0.898039;0.576471;0.564706
15: 44: 14.908;0.407843;0.0588235;0.678431;0.568627;0.905882
15: 44: 14.927;0.407843;0.0588235;0.678431;0.568627;0.905882
15: 44: 14.946;0.0941176;0.0588235;0.364706;0.54902;0.156863
15: 44: 14.983;0.109804;0.0745098;0.290196;0.533333;0.203922
15: 44: 15.002;0.0941176;0.0588235;0.0156863;0.545098;0.156863
15: 44: 15.021;0.231373;0.0509804;0.905882;0.521569;0.203922
15: 44: 15.040;0.231373;0.0509804;0.905882;0.521569;0.203922
15: 44: 15.058;0.160784;0.0666667;0.952941;0.533333;0.290196
15: 44: 15.077;0.160784;0.0666667;0.952941;0.533333;0.290196
15: 44: 15.096;0.862745;0.0823529;0.203922;0.505882;0.203922
15: 44: 15.115;0.541176;0.0666667;0.6;0.513726;0.290196
15: 44: 15.133;0.541176;0.0666667;0.6;0.513726;0.290196
15: 44: 15.152;0.784314;0.0745098;0.121569;0.501961;0.203922
15: 44: 15.171;0.105882;0.0980392;0.203922;0.505882;0.290196
15: 44: 15.190;0.105882;0.0980392;0.203922;0.505882;0.290196
15: 44: 15.208;0.0313726;0.0784314;0.788235;0.494118;0.0235294
15: 44: 15.227;0.0313726;0.0784314;0.788235;0.494118;0.0235294
15: 44: 15.246;0.152941;0.0941176;0.792157;0.505882;0.290196
15: 44: 15.265;0.105882;0.0980392;0.223529;0.513726;0.0235294
15: 44: 15.283;0.105882;0.0980392;0.223529;0.513726;0.0235294
15: 44: 15.302;0.0313726;0.0784314;0.952941;0.533333;0.290196
15: 44: 15.321;0.152941;0.0941176;0.345098;0.556863;0.0235294
15: 44: 15.340;0.152941;0.0941176;0.345098;0.556863;0.0235294
15: 44: 15.358;0.027451;0.0901961;0.580392;0.552941;0.952941
15: 44: 15.377;0.027451;0.0901961;0.580392;0.552941;0.952941
15: 44: 15.396;0.784314;0.0745098;0.952941;0.533333;0.0235294
15: 44: 15.415;0.152941;0.0941176;0.941176;0.498039;0.952941
15: 44: 15.433;0.152941;0.0941176;0.941176;0.498039;0.952941
15: 44: 15.452;0.105882;0.0980392;0.54902;0.376471;0.0235294
15: 44: 15.471;0.913725;0.109804;0.686275;0.835294;0.952941
15: 44: 15.490;0.913725;0.109804;0.686275;0.835294;0.952941
15: 44: 15.508;0.772549;0.192157;0.909804;0.278431;0.0235294
15: 44: 15.527;0.772549;0.192157;0.909804;0.278431;0.0235294
15: 44: 15.546;0.305882;0.266667;0.603922;0.627451;0.952941
15: 44: 15.565;0.964706;0.333333;0.180392;0.301961;0.12549
15: 44: 15.602;0.964706;0.333333;0.180392;0.301961;0.12549
15: 44: 15.621;0.435294;0.447059;0;0;0.952941
15: 44: 15.640;0.435294;0.447059;0;0;0.952941
15: 44: 15.658;0.545098;0.501961;0;0;0.584314
15: 44: 15.696;0.0235294;0.517647;0;0;0.290196
15: 44: 15.715;0.6;0.513726;0;0;0.701961
15: 44: 15.733;0.6;0.513726;0;0;0.701961
15: 44: 15.752;0.792157;0.505882;0;0;0.290196
15: 44: 15.771;0.792157;0.505882;0;0;0.0156863
