Timestamp;Thumb Bending;Index Bending;Middle Bending;Ring Bending;Pinky Bending
15: 43: 31.220;0.345098;0.556863;0;0;0.584314
15: 43: 31.258;0.992157;0.541176;0;0;0.584314
15: 43: 31.295;0.345098;0.556863;0;0;0.54902
15: 43: 31.351;0.345098;0.556863;0;0;0.584314
15: 43: 31.388;0.580392;0.552941;0;0;0.584314
15: 43: 31.407;0.0156863;0.545098;0;0;0.584314
15: 43: 31.426;0.0156863;0.545098;0;0;0.584314
15: 43: 31.445;0.345098;0.556863;0;0;0.54902
15: 43: 31.464;0.345098;0.556863;0;0;0.584314
15: 43: 31.482;0.345098;0.556863;0;0;0.584314
15: 43: 31.502;0.992157;0.541176;0;0;0.54902
15: 43: 31.520;0.345098;0.556863;0;0;0.584314
15: 43: 31.538;0.345098;0.556863;0;0;0.584314
15: 43: 31.557;0.364706;0.54902;0;0;0.54902
15: 43: 31.576;0.364706;0.54902;0;0;0.54902
15: 43: 31.595;0.505882;0.541176;0;0;0.584314
15: 43: 31.613;0.584314;0.545098;0;0;0.54902
15: 43: 31.651;0.584314;0.545098;0;0;0.54902
15: 43: 31.670;0.0156863;0.545098;0;0;0.54902
15: 43: 31.689;0.0156863;0.545098;0;0;0.54902
15: 43: 31.707;0.364706;0.54902;0;0;0.584314
15: 43: 31.726;0.364706;0.54902;0;0;0.584314
15: 43: 31.745;0.670588;0.556863;0;0;0.364706
15: 43: 31.783;0.0156863;0.545098;0;0;0.364706
15: 43: 31.802;0.580392;0.552941;0;0;0.701961
15: 43: 31.820;0.54902;0.560784;0;0;0.670588
15: 43: 31.839;0.54902;0.560784;0;0;0.670588
15: 43: 31.857;0.0156863;0.545098;0;0;0.701961
15: 43: 31.876;0.580392;0.552941;0;0;0.670588
15: 43: 31.895;0.580392;0.552941;0;0;0.670588
15: 43: 31.914;0.988235;0.560784;0;0;0.584314
15: 43: 31.932;0.988235;0.560784;0;0;0.584314
15: 43: 31.951;0.584314;0.545098;0;0;0.54902
15: 43: 31.970;0.584314;0.545098;0;0;0.584314
15: 43: 31.989;0.584314;0.545098;0;0;0.584314
15: 43: 32.007;0.670588;0.556863;0;0;0.54902
15: 43: 32.026;0.0156863;0.545098;0;0;0.584314
15: 43: 32.045;0.0156863;0.545098;0;0;0.584314
15: 43: 32.064;0.0156863;0.545098;0;0;0.54902
15: 43: 32.082;0.0156863;0.545098;0;0;0.54902
15: 43: 32.101;0.670588;0.556863;0;0;0.584314
15: 43: 32.120;0.0156863;0.545098;0;0;0.54902
15: 43: 32.138;0.0156863;0.545098;0;0;0.54902
15: 43: 32.157;0.505882;0.541176;0;0;0.584314
15: 43: 32.176;0.580392;0.552941;0;0;0.54902
15: 43: 32.195;0.580392;0.552941;0;0;0.54902
15: 43: 32.213;0.992157;0.541176;0;0;0.584314
15: 43: 32.232;0.992157;0.541176;0;0;0.584314
15: 43: 32.251;0.505882;0.541176;0;0;0.54902
15: 43: 32.270;0.580392;0.552941;0;0;0.701961
15: 43: 32.288;0.580392;0.552941;0;0;0.701961
15: 43: 32.307;0.584314;0.545098;0;0;0.345098
15: 43: 32.326;0.564706;0.537255;0;0;0.580392
15: 43: 32.345;0.564706;0.537255;0;0;0.580392
15: 43: 32.382;0.364706;0.54902;0;0;0.701961
15: 43: 32.401;0.54902;0.560784;0;0;0.54902
15: 43: 32.420;0.584314;0.545098;0;0;0.584314
15: 43: 32.438;0.584314;0.545098;0;0;0.584314
15: 43: 32.457;0.505882;0.541176;0;0;0.54902
15: 43: 32.476;0.580392;0.552941;0;0;0.584314
15: 43: 32.495;0.580392;0.552941;0;0;0.584314
15: 43: 32.514;0.584314;0.545098;0;0;0.54902
15: 43: 32.532;0.584314;0.545098;0;0;0.54902
15: 43: 32.551;0.564706;0.537255;0;0;0.584314
15: 43: 32.570;0.580392;0.552941;0;0;0.54902
15: 43: 32.588;0.580392;0.552941;0;0;0.54902
15: 43: 32.607;0.992157;0.541176;0;0;0.584314
15: 43: 32.626;0.564706;0.537255;0;0;0.54902
15: 43: 32.645;0.564706;0.537255;0;0;0.54902
15: 43: 32.664;0.580392;0.552941;0;0;0.584314
15: 43: 32.682;0.580392;0.552941;0;0;0.584314
15: 43: 32.701;0.992157;0.541176;0;0;0.54902
15: 43: 32.720;0.564706;0.537255;0;0;0.701961
15: 43: 32.738;0.564706;0.537255;0;0;0.701961
15: 43: 32.757;0.580392;0.552941;0;0;0.345098
15: 43: 32.777;0.701961;0.54902;0;0;0.345098
15: 43: 32.795;0.701961;0.54902;0;0;0.345098
15: 43: 32.814;0.564706;0.537255;0;0;0.701961
15: 43: 32.832;0.564706;0.537255;0;0;0.701961
15: 43: 32.851;0.580392;0.552941;0;0;0.670588
15: 43: 32.870;0.670588;0.556863;0;0;0.584314
15: 43: 32.888;0.670588;0.556863;0;0;0.584314
15: 43: 33.376;0.0156863;0.545098;0;0;0.54902
15: 43: 33.376;0.701961;0.54902;0;0;0.584314
15: 43: 33.377;0.701961;0.54902;0;0;0.584314
15: 43: 33.377;0.670588;0.556863;0;0;0.54902
15: 43: 33.378;0.0156863;0.545098;0;0;0.584314
15: 43: 33.378;0.0156863;0.545098;0;0;0.584314
15: 43: 33.379;0.992157;0.541176;0;0;0.54902
